term,mean,sd,lower_95,upper_95
const,46765243.44568329,596406.1127542143,45596287.46468503,47934199.426681556
trend,1014004.2886203078,1019945.2505160829,-985088.4023912146,3013096.97963183
cos1,1476820.7613797062,442258.656115621,609993.7953930891,2343647.7273663236
sin1,-1203922.9967919965,437976.3256279679,-2062356.5950228134,-345489.3985611795
cos2,-415207.2998482438,433055.4903759746,-1263996.060985154,433581.46128866647
sin2,-3329399.0948429415,438505.60777250974,-4188870.0860770606,-2469928.1036088225
cos3,-2465249.3867450273,431721.93819964235,-3311424.3856163262,-1619074.3878737283
sin3,-992650.9584677592,442770.6617631815,-1860481.4555235947,-124820.46141192352
cos4,-2484515.4324209546,434722.95540153893,-3336572.425007971,-1632458.4398339381
sin4,975927.8581731496,441465.50977565075,110655.45901287417,1841200.257333425
cos5,-1376703.6611199304,454195.6713500207,-2266927.176965971,-486480.1452738899
sin5,1411351.0226562503,417699.6335752927,592659.7408486765,2230042.3044638243
cos6,182442.53710551932,437167.9381745974,-674406.6217166915,1039291.6959277302
sin6,2655300.184177433,425466.57844621997,1821385.690422842,3489214.677932024
holiday_Christmas,-13949437.691488111,2809566.0998433493,-19456187.247181077,-8442688.135795146
holiday_Labor Day,3394692.314997364,2299603.9043765967,-1112531.3375807656,7901915.967575493
holiday_Super Bowl,4133389.0978800133,2327428.136217347,-428370.04910598695,8695148.244866014
holiday_Thanksgiving,15478190.524039105,2805444.8332724543,9979518.650825094,20976862.397253115
