term,mean,sd,lower_95,upper_95
const,17.65368861585988,0.010514483432882301,17.632994533830146,17.674752574260648
trend,0.023417989766955565,0.017976425642333788,-0.010630160361829686,0.059724671575600054
cos1,0.02198720988736431,0.007937470678404543,0.0063027766125013625,0.03750709345574007
sin1,-0.019020514840119424,0.007983115631733815,-0.034149745502011636,-0.0032899242491712132
cos2,-0.012072560303778379,0.007649875091439536,-0.026735509406850985,0.003374893046386553
sin2,-0.05889995208099243,0.00812090479395909,-0.07467011739336253,-0.043201664684509186
cos3,-0.04769348995515571,0.007847746173134317,-0.06323185882228896,-0.03247772401458324
sin3,-0.00888371919537151,0.008016419966444943,-0.02422467886986178,0.006923535123055265
cos4,-0.0411077303319983,0.007533912642806869,-0.05623986214443961,-0.02632106887546419
sin4,0.028373342223412867,0.007871496656802738,0.013216348713595496,0.04346831971190178
cos5,-0.01643275490380784,0.008124407917660061,-0.03155420046472313,-0.0005985663537862145
sin5,0.027079893156922195,0.007601538772984429,0.011801391422942254,0.041640281625601946
cos6,0.008918894661421865,0.00784170121084201,-0.006120860670281721,0.024198638824917247
sin6,0.047696335208879184,0.0076163356772460935,0.03269255666317264,0.06205803284180509
holiday_Christmas,-0.18664365062639954,0.04609958477310292,-0.2760072324578486,-0.09398213244275397
holiday_Labor Day,0.057324825879088874,0.03865967763942301,-0.016560075026671173,0.132444174982614
holiday_Super Bowl,0.06451147708369646,0.039134021117689426,-0.015800635518784252,0.13909354092383022
holiday_Thanksgiving,0.21055767736439324,0.04477796574973776,0.12068977095882291,0.29649416757146657
